"id","latitude","longitude","name","docks"
72,"40.767272","-73.993929","W 52 St & 11 Ave",50
79,"40.719116","-74.006667","Franklin St & W Broadway",32
82,"40.711174","-74.000165","St James Pl & Pearl St",25
83,"40.683826","-73.976323","Atlantic Ave & Fort Greene Pl",62
116,"40.741776","-74.001497","W 17 St & 8 Ave",50
119,"40.696089","-73.978034","Park Ave & St Edwards St",19
120,"40.686768","-73.959282","Lexington Ave & Classon Ave",19
127,"40.731724","-74.006744","Barrow St & Hudson St",31
128,"40.727103","-74.002971","MacDougal St & Prince St",30
143,"40.692395","-73.993379","Clinton St & Joralemon St",24
144,"40.698399","-73.980689","Nassau St & Navy St",55
146,"40.71625","-74.009106","Hudson St & Reade St",39
150,"40.720874","-73.980858","E 2 St & Avenue C",54
151,"40.722104","-73.997249","Cleveland Pl & Spring St",33
157,"40.690893","-73.996123","Henry St & Atlantic Ave",22
161,"40.72917","-73.998102","LaGuardia Pl & W 3 St",34
164,"40.753231","-73.970325","E 47 St & 2 Ave",46
167,"40.748901","-73.976049","E 39 St & 3 Ave",45
168,"40.739713","-73.994564","W 18 St & 6 Ave",46
173,"40.760683","-73.984527","Broadway & W 49 St",69
174,"40.738177","-73.977387","E 25 St & 1 Ave",28
195,"40.709056","-74.010434","Liberty St & Broadway",44
212,"40.743349","-74.006818","W 16 St & The High Line",60
216,"40.700379","-73.995481","Columbia Heights & Cranberry St",22
217,"40.702772","-73.993836","Old Fulton St",36
223,"40.737815","-73.999947","W 13 St & 7 Ave",33
224,"40.711464","-74.005524","Spruce St & Nassau St",31
228,"40.754601","-73.971879","E 48 St & 3 Ave",54
229,"40.727434","-73.99379","Great Jones St",22
236,"40.728419","-73.98714","St Marks Pl & 2 Ave",44
237,"40.730473","-73.986724","E 11 St & 2 Ave",38
238,"40.736197","-74.008592","Bank St & Washington St",30
239,"40.691966","-73.981302","Willoughby St & Fleet St",31
241,"40.68981","-73.974931","DeKalb Ave & S Portland Ave",23
242,"40.697787","-73.973736","Carlton Ave & Flushing Ave",46
244,"40.69196","-73.965369","Willoughby Ave & Hall St",31
245,"40.69327","-73.977039","Myrtle Ave & St Edwards St",23
247,"40.735354","-74.004831","Perry St & Bleecker St",55
248,"40.721854","-74.007718","Laight St & Hudson St",23
249,"40.71871","-74.009001","Harrison St & Hudson St",27
250,"40.724561","-73.995653","Lafayette St & Jersey St",39
251,"40.72318","-73.9948","Mott St & Prince St",27
252,"40.732264","-73.998522","MacDougal St & Washington Sq",32
254,"40.735324","-73.998004","W 11 St & 6 Ave",57
257,"40.719392","-74.002472","Lispenard St & Broadway",38
258,"40.689407","-73.968855","DeKalb Ave & Vanderbilt Ave",23
259,"40.701221","-74.012342","South St & Whitehall St",39
260,"40.703652","-74.011678","Broad St & Bridge St",32
261,"40.694749","-73.983625","Johnson St & Gold St",27
262,"40.691782","-73.97373","Washington Park",24
264,"40.707065","-74.007319","Maiden Ln & Pearl St",27
265,"40.722293","-73.991475","Stanton St & Chrystie St",35
267,"40.750977","-73.987654","Broadway & W 36 St",78
268,"40.719105","-73.999733","Howard St & Centre St",27
270,"40.693083","-73.971789","Adelphi St & Myrtle Ave",22
274,"40.686919","-73.976682","Lafayette Ave & Fort Greene Pl",27
275,"40.686501","-73.965633","Washington Ave & Greene Ave",19
276,"40.717488","-74.010455","Duane St & Greenwich St",25
278,"40.697666","-73.984764","Concord St & Bridge St",19
280,"40.73332","-73.995101","E 10 St & 5 Ave",59
281,"40.764397","-73.973715","Grand Army Plaza & Central Park S",66
282,"40.707645","-73.968415","Kent Ave & S 11 St",27
284,"40.739017","-74.002638","Greenwich Ave & 8 Ave",43
285,"40.734546","-73.990741","Broadway & E 14 St",50
289,"40.684568","-73.958811","Monroe St & Classon Ave",18
291,"40.713126","-73.984844","Madison St & Montgomery St",20
293,"40.730207","-73.991026","Lafayette St & E 8 St",54
295,"40.714067","-73.992939","Pike St & E Broadway",23
297,"40.734232","-73.986923","E 15 St & 3 Ave",26
298,"40.686832","-73.979677","3 Ave & Schermerhorn St",34
301,"40.722174","-73.983688","E 2 St & Avenue B",58
302,"40.720828","-73.977932","Avenue D & E 3 St",23
303,"40.723627","-73.999496","Mercer St & Spring St",0
304,"40.704633","-74.013617","Broadway & Battery Pl",32
305,"40.760958","-73.967245","E 58 St & 3 Ave",32
307,"40.714275","-73.9899","Canal St & Rutgers St",28
308,"40.713079","-73.998512","St James Pl & Oliver St",27
309,"40.714979","-74.013012","Murray St & West St",40
310,"40.689269","-73.989129","State St & Smith St",36
